Task_ID,Date_Key,Total_Budget_Cost,PV_Incremental,EV_Physical_Percent,EV_Incremental_Calculated,AC_Incremental
T109,2026-11-30,1000000,500000,0.0,0.0,0
T110,2026-11-30,1500000,500000,0.0,0.0,0
T101,2026-12-31,1200000,0,1.0,0.0,0
T102,2026-12-31,1800000,0,1.0,0.0,0
T103,2026-12-31,3500000,0,1.0,0.0,0
T104,2026-12-31,4200000,0,0.85,0.0,0
T105,2026-12-31,4000000,0,0.9,0.0,0
T106,2026-12-31,4800000,0,0.65,0.0,0
T107,2026-12-31,2500000,0,0.3,0.0,0
T108,2026-12-31,2000000,0,0.0,0.0,0
T109,2026-12-31,1000000,0,0.0,0.0,0
T110,2026-12-31,1500000,1000000,0.0,0.0,0
